,Name,Search_name,Exclude_entries
0,Subway,subway,
1,KFC,kfc,
2,Costa Coffee,costa coffee,
3,Co-op,co-op,
4,Starbucks ®,starbucks ®,
5,One Stop,one stop,
6,Morrisons,morrisons,
7,Wing Street,wing street,
8,Nando's,nando's,
9,Sainsbury's,sainsbury's,
10,Pizza Hut Delivery,pizza hut delivery,
11,Burger King,burger king,
12,PIZZAEXPRESS,pizzaexpress,
13,McDonald's,mcdonald's,
14,Papa John's,papa john's,
15,Waitrose & Partners,waitrose & partners,
16,bp M&S Food,bp m&s food,
17,Majestic Wine,majestic wine,
18,Pret A Manger,pret a manger,
19,Pizza Hut Restaurants,pizza hut restaurants,
20,Wagamama,wagamama,
21,Prezzo,prezzo,
22,Harvester,harvester,
23,Shop'N Drive,shop'n drive,
24,Toby Carvery,toby carvery,
25,Sushi Gourmet,sushi gourmet,
26,Coco di Mama Kitchens,coco di mama kitchens,
27,Zizzi,zizzi,
28,Papa John's Pizza,papa john's pizza,
29,Five Guys - Burger and Fries,five guys - burger and fries,
30,Bella Italia Pasta & Pizza,bella italia pasta & pizza,
31,Ice Cream Store,ice cream store,
32,German Doner Kebab,german doner kebab,
33,Taco Bell,taco bell,
34,Dixy Chicken,dixy chicken,
35,Ben & Jerry's Store,ben & jerry's store,
36,Pepe's Piri Piri,pepe's piri piri,
37,Krispy Kreme Doughnuts,krispy kreme doughnuts,
38,Fireaway Pizza,fireaway pizza,
39,Frankie & Benny's,frankie & benny's,
40,Wenzel's,wenzel's,
41,Bird Box,bird box,
42,Burger Slob,burger slob,
43,Ember Inns,ember inns,
44,Krispy Kreme - Doughnuts & Coffee,krispy kreme - doughnuts & coffee,
45,Eggfree Cakebox,eggfree cakebox,
46,STACKS - Burgers,stacks - burgers,
47,Thicc Milkshakes,thicc milkshakes,
48,Miller & Carter,miller & carter,
49,Creams,creams,
50,TGI Fridays,tgi fridays,
51,Londis,londis,
52,Freaking Good Pizza,freaking good pizza,
53,GAIL's,gail's,
54,Burger Dudes,burger dudes,
55,Papa Johns,papa johns,
56,Ruby Jeans Burgers,ruby jeans burgers,
57,Morrisons Daily,morrisons daily,
58,Tops Pizza,tops pizza,
59,LloydsPharmacy,lloydspharmacy,
60,Sides,sides,
61,Puddo,puddo,
62,Epic Chicken,epic chicken,
63,MrBeast Burger,mrbeast burger,
64,The Dessert Shop,the dessert shop,
65,Kaspa's,kaspa's,
66,Farmhouse Inns (Dining & Carvery),farmhouse inns (dining & carvery),
67,Tortilla - Burritos & Tacos,tortilla - burritos & tacos,
68,The Big Cake Co.,the big cake co.,
69,Franco Manca,franco manca,
70,Costcutter,costcutter,
71,BONE JAM,bone jam,
72,Nisa Local,nisa local,
73,Wimpy,wimpy,
74,Mac Shack,mac shack,
75,Brooklyn Calzones,brooklyn calzones,
76,Charcoal Grill,charcoal grill,
77,Pizza Hut,pizza hut,
78,Pizza Time,pizza time,
79,SPAR,spar,
80,Pizza GoGo,pizza gogo,
81,Turtle Bay,turtle bay,
82,Haji Baba,haji baba,
83,Lloyds Pharmacy,lloyds pharmacy,
84,Furious Kebab,furious kebab,
85,Kokoro,kokoro,
86,WingStreet,wingstreet,
87,Chaiiwala,chaiiwala,
88,China Garden,china garden,
89,LEON,leon,
90,Breakfast By Frankie's,breakfast by frankie's,
91,Wildwood Pizza Pasta Grill,wildwood pizza pasta grill,
92,Caprinos Pizza,caprinos pizza,
93,Chicken Cottage,chicken cottage,
94,Little Dessert Shop,little dessert shop,
95,ASK Italian Pasta & Pizza,ask italian pasta & pizza,
96,Bargain Booze,bargain booze,
97,Black Sheep Coffee,black sheep coffee,
98,Eggfree Cake Box,eggfree cake box,
99,Muffin Break,muffin break,
100,Chopstix,chopstix,
101,Millie's Cookies,millie's cookies,
102,Rebel 'Rito (Mexican Burritos),rebel 'rito (mexican burritos),
103,Halo Kitchen,halo kitchen,
104,The Ice Cream Store,the ice cream store,
105,Pho,pho,
106,Las Iguanas,las iguanas,
107,Giggling Squid - Thai Tapas & Thai Restaurant,giggling squid - thai tapas & thai restaurant,
108,Joe & The Juice,joe & the juice,
109,Mooboo,mooboo,
110,Favorite Chicken & Ribs,favorite chicken & ribs,
111,Stonehouse,stonehouse,
112,Sam's Chicken,sam's chicken,
113,Pieminister,pieminister,
114,Wing World,wing world,
115,Full Life Fundraising,full life fundraising,
116,All Bar One,all bar one,
117,Pizza House,pizza house,
118,Waffle Craze,waffle craze,
119,Gourmet Burger Kitchen (GBK),gourmet burger kitchen (gbk),
120,Best Kebab,best kebab,
121,Roosters Piri Piri,roosters piri piri,
122,YO!,yo!,
123,Farmhouse Pizza,farmhouse pizza,
124,Spice Hut,spice hut,
125,Pasta Evangelists,pasta evangelists,
126,Oodles Chinese,oodles chinese,
127,Pizza King,pizza king,
128,Rosa's Thai,rosa's thai,
129,Lucky Star,lucky star,
130,Golden Dragon,golden dragon,
131,Chick Chick Crew,chick chick crew,
132,Premier,premier,
133,Heavenly Desserts,heavenly desserts,
134,itsu,itsu,
135,Waterfields,waterfields,
136,Parsons Bakery,parsons bakery,
137,Morrisons Cafe,morrisons cafe,
138,SoBe Burger,sobe burger,
139,Smashmouth Burgers,smashmouth burgers,
140,Tikka Taj,tikka taj,
141,Dirty Wild Wings,dirty wild wings,
142,Nisa,nisa,
143,Wasabi,wasabi,
144,Yangtze,yangtze,
145,Harmony Wraps,harmony wraps,
146,Munchies,munchies,
147,The Fat Pizza,the fat pizza,
