,Name,Search_name,Exclude_entries
0,Ed's Easy Diner,ed's easy diner,
1,Ciao Maria Pizza,ciao maria pizza,
2,Mama's Rice Chinese Takeaway,mama's rice chinese takeaway,
3,Ichiban Don,ichiban don,
4,UK Pizza,uk pizza,
5,Biff's Vegan Burgers & Wingz,biff's vegan burgers & wingz,
6,Kaspa's Desserts,kaspa's desserts,
7,Jungle Grill,jungle grill,
8,Smoky Boys,smoky boys,
9,Milano Express,milano express,
10,Ding Tea,ding tea,
11,Pizza Bella,pizza bella,
12,Aroma,aroma,
13,Golden Star,golden star,
14,Tennessee Fried Chicken,tennessee fried chicken,
15,Park&Shop,park&shop,
16,Tennessee Express,tennessee express,
17,Fortune Cookie,fortune cookie,
18,Pizza Bar,pizza bar,
19,Wham! Bam! Burrito!,wham! bam! burrito!,
20,Tandoori Nights,tandoori nights,
21,The Great British Cheesecake Company,the great british cheesecake company,
22,Shake Shack - Burgers & Shakes,shake shack - burgers & shakes,
23,Thai Square,thai square,
24,You Me Sushi,you me sushi,
25,Favorite Chicken,favorite chicken,
26,Tasty Grill,tasty grill,
27,Babago,babago,
28,Tasty African Food,tasty african food,
29,Yo!,yo!,
30,Pizza Box,pizza box,
31,Freddy's Chicken & Pizza,freddy's chicken & pizza,
32,City Pizza,city pizza,
33,My Cookie Dough,my cookie dough,
34,American Pizza,american pizza,
35,Pronto Pizza,pronto pizza,
36,Ministry of Chicken,ministry of chicken,
37,Simmons Bakers,simmons bakers,
38,Phikul,phikul,
39,The Coconut Tree,the coconut tree,
40,Ice Cream & Desserts 24/7,ice cream & desserts 24/7,
41,Hot Wok,hot wok,
42,Atlantic Fish Bar,atlantic fish bar,
43,Spice Fusion,spice fusion,
44,Golden House,golden house,
45,Pizza Point,pizza point,
46,Pizza Place,pizza place,
47,Ocean Fish Bar,ocean fish bar,
48,Chicken Village,chicken village,
49,Sunshine Cafe,sunshine cafe,
50,Yummies,yummies,
51,Burger Amour,burger amour,
52,TJ's,tj's,
53,Pizza Parlour,pizza parlour,
54,The Good Breakfast,the good breakfast,
55,Sushimania,sushimania,
56,Sundaes Gelato,sundaes gelato,
57,Little Planted Kitchen,little planted kitchen,
58,Marmaris,marmaris,
59,Poke Fuzion,poke fuzion,
60,Taste Of China,taste of china,
61,Treatz,treatz,
62,Mak Halal,mak halal,
63,Poke House 🐠,poke house 🐠,
64,Crêpeaffaire,crêpeaffaire,
65,ODEON,odeon,
66,Motu Indian Kitchen,motu indian kitchen,
67,Spice Village,spice village,
68,Lotus House,lotus house,
69,Faasos Indian Wraps,faasos indian wraps,
70,The Head of Steam,the head of steam,
71,Behrouz Biryani,behrouz biryani,
72,The Great Wall,the great wall,
73,Dragon City,dragon city,
74,PRESS Cold Pressed Juices & Cleanses,press cold pressed juices & cleanses,
75,Pizza Inn,pizza inn,
76,Haute Dolci,haute dolci,
77,Shakehouse,shakehouse,
78,PizzaExpress,pizzaexpress,
79,Peking House,peking house,
80,Roosters,roosters,
81,Leon,leon,
82,Jollibee,jollibee,
83,Taste of Lahore,taste of lahore,
84,Ali Baba,ali baba,
85,Jude's Ice Cream,jude's ice cream,
86,"Bananatree - Thai, Vietnamese Vegan","bananatree - thai, vietnamese vegan",
87,The Kitchen,the kitchen,
88,Curry King,curry king,
89,McDonald's® - High Street,mcdonald's® - high street,
90,Golden Bowl,golden bowl,
91,Spice Merchant,spice merchant,
92,The Deli,the deli,
93,Singh vs Reddy,singh vs reddy,
94,Flames Grill,flames grill,
95,Ambala,ambala,
96,King Pizza,king pizza,
97,Golden Wok,golden wok,
98,Mario's Pizza,mario's pizza,
99,Snappy Tomato Pizza,snappy tomato pizza,
100,Chicken.com,chicken.com,
101,King of Wings,king of wings,
102,Chilango,chilango,
103,Perfect Chicken,perfect chicken,
104,Tasty House,tasty house,
105,Tuk Tuk Pan Asian,tuk tuk pan asian,
106,Mimi’s Thai Kitchen,mimi’s thai kitchen,
107,Curry Garden,curry garden,
108,Spice Island,spice island,
109,Eastern Eye,eastern eye,
110,Delightful Desserts,delightful desserts,
111,Pasta Glory,pasta glory,
112,Curry Hut,curry hut,
113,Coco Di Mama Kitchens,coco di mama kitchens,
114,Just Wing It,just wing it,
115,Oriental Kitchen,oriental kitchen,
116,What’s Your Katsu - Japanese Kitchen,what’s your katsu - japanese kitchen,
117,Dog 'N' Bun,dog 'n' bun,
118,Saint Pita,saint pita,
119,Griller,griller,
120,Dragon Palace,dragon palace,
121,Turkish Grill,turkish grill,
122,Wendy's,wendy's,
123,Papa Johns Pizza,papa johns pizza,
124,Wahaca - Mexican Street Food,wahaca - mexican street food,
125,Chicken Palace,chicken palace,
126,Kebab King,kebab king,
127,Envie Louisiana Street Food,envie louisiana street food,
128,Sushi Daily,sushi daily,
129,Golden Palace,golden palace,
130,Pizza Pilgrims,pizza pilgrims,
131,Wafflemeister,wafflemeister,
132,Ice Stone Gelato,ice stone gelato,
133,Pizza Base,pizza base,
134,Pizza Planet,pizza planet,
135,Sardar Ji London Wale,sardar ji london wale,
136,Hub Box,hub box,
137,Pizza City,pizza city,
138,Curry House,curry house,
139,Groovy Island Pizza,groovy island pizza,
140,China Kitchen,china kitchen,
141,Rudy's Pizza,rudy's pizza,
142,Golden City,golden city,
143,Allpress,allpress,
144,Saucy Chicks,saucy chicks,
145,Planet Doughnut,planet doughnut,
146,Remeo Gelato Ice Cream Store,remeo gelato ice cream store,
147,Sugar Rush,sugar rush,
148,Gelato Passion,gelato passion,
149,UK Fried Chicken,uk fried chicken,
150,Peri-fection,peri-fection,
151,BOX by wagamama,box by wagamama,
152,Snack Shack,snack shack,
153,Triple Two Coffee,triple two coffee,
154,China Dragon,china dragon,
155,Kings Fish Bar,kings fish bar,
156,Hollywood Pizza,hollywood pizza,
157,Premier Express,premier express,
158,Bayleaf,bayleaf,
159,Patty&Bun,patty&bun,
160,Royal Tandoori,royal tandoori,
161,Tamarind,tamarind,
162,China Star,china star,
163,Cafe Express,cafe express,
164,Moo Lab,moo lab,
165,Burger Base,burger base,
166,Tinseltown,tinseltown,
167,Yummy,yummy,
168,Wrapchic,wrapchic,
169,The Shake Lab,the shake lab,
170,USA Chicken,usa chicken,
171,Cream Curls,cream curls,
172,Mamma Mia Pizza,mamma mia pizza,
173,Just Desserts,just desserts,
174,Luigi's,luigi's,
175,Kebab Express,kebab express,
176,Cojean,cojean,
177,Chopsticks,chopsticks,
178,Amigos,amigos,
179,Kebab World,kebab world,
180,Midnight Delivery,midnight delivery,
181,Happy Wok,happy wok,
182,Blue Ginger,blue ginger,
183,Curry Corner,curry corner,
184,Protein Pizza,protein pizza,
185,Barburrito 🌯,barburrito 🌯,
186,Chunky Buddha,chunky buddha,
187,Oriental Star,oriental star,
188,Fusion,fusion,
